
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
604, "Relations Improve", "", "Relations are improving between %s and %s.  This could unsettle things for other countries in the near future.", "Improved diplomatic relations between %s and %s are seen as officials decide to coordinated some of their goals.", "Diplomatic talks have paid off for %s and %s.  Setting aside a few differences may indeed usher in the start of a new era.", "Acknowledge", "", "", ""
605, "Relations Decline", "", "Diplomacy between %s and %s is deteriorating.  This may open up a window of opportunity. ", "The leaders summit has not been a success.  %s and %s have come away with weakened diplomatic ties.  ", "The desire of %s and %s to cooperate has declined in recent days.", "Acknowledge", "", "", ""
606, "Border Build-up", "Build-up of Forces by %s near Border", "There is a significant build-up of military forces from %s near our border.", "", "", "Acknowledge", "Condemn Action", "Support Action", ""
607, "Border Activity", "Troop Movement by %s Spotted", "Troop movement has been spotted.  We must further investigate and figure out what %s is up to.", "", "", "Acknowledge", "", "", ""
608, "Military Assistance", "", "%s may be coming to our aid.  They report troop allocations to fortify our defenses.", "", "", "Acknowledge", "", "", ""
609, "Region Withdraws from SEATO", "%s Withdraws from SEATO", "%s has withdrawn from the South East Asia Treaty Organization.", "", "", "Acknowledge", "Condemn Action", "Support Action", ""
61, "Intelligence Report", "Intelligence Estimate: %s Investing Heavily in Research", "Our Intelligence reports that %s is spending significantly on Research and new technological developments.", "", "", "Acknowledge", "", "", ""
610, "Bandung Conference", "Bandung Conference", "The Bandung Conference in Indonesia lays the ground work for the formation of the Non-Aligned Movement, an organization concerned with the Cold War agendas of the US and the USSR as well as opposed to continued colonization.", "", "", "Acknowledge", "", "", ""
611, "Relations Severed", "", "All ties have been severed between %s and %s.  Reasons remain unclear as we continue to discern between fact and speculation.", "", "", "Acknowledge", "", "", ""
612, "End to War", "", "The war between %s and %s has ended.  We hope this move will be the start of civil relations instead of used as a period of time to rebuild and regroup to finish the battle.", "Could an end to war lead to new beginnings between %s and %s.  Only time will tell.", "", "Acknowledge", "", "", ""
613, "Alliance Formed", "", "An alliance has been formed between %s and %s.  We would be wise to remember this relationship in our days ahead.", "", "", "Acknowledge", "", "", ""
614, "Treaties Severed", "", "Treaties have ended between %s and %s.  ", "", "", "Acknowledge", "", "", ""
615, "Treaties Terminated", "Treaties between %s and %s ended.", "Treaties have been ended between %s and %s.  ", "", "", "Acknowledge", "", "", ""
616, "Proxy War Opportunity", "Proxy War Opportunity from %s into %s", "Because of our relationship with %s, we have the opportunity to support their war against %s.", "", "", "Acknowledge", "", "", ""
617, "Help Requested", "", "%s formally requests our help.  ", "", "", "Acknowledge", "", "", ""
618, "", "", "Accepting the following offer will be a sign to our people of cooperation between us.", "", "", "Acknowledge", "", "", ""
619, "", "", "We will be sending you an offer shortly.  It would be wise to accept our generosity.", "", "", "Acknowledge", "", "", ""
62, "Build Bases Recommendation", "Recommendation: Build Military Bases", "It is my strong recommendation that we build additional Unit Production facilities so that we can keep up with the Unit Building Capacity of our neighbors.  Otherwise we risk becoming an easy target of a military invasion.  If you agree, please indicate w", "", "", "Agree.  Minister may build what ¶they deem necessary", "Deny.  Do not build facilities", "", ""
620, "Saarland / West Germany Merge", "Saarland Merges with West Germany", "As a result of a national plebicite, the people of Saarland have voted to merge their country with West Germany.", "", "", "Acknowledge", "", "", ""
621, "Financial Aid", "", "We are pleased to report that more financial aid has arrived from Russia.  We should expect routine payments every few months.", "", "", "Acknowledge", "", "", ""
622, "Threat Detected", "", "Venezuela have lost patience with our incursion into Ecuador and are planning to force our withdrawal... ", "", "", "Acknowledge", "", "", ""
623, "Financial Aid", "", "Iran has sent us some financial aid to help with our war effort.", "", "", "Acknowledge", "", "", ""
624, "Financial Aid", "", "Iran has again sent us some financial aid to help with our war effort.", "", "", "Acknowledge", "", "", ""
625, "Military Aid", "", "Russia has shown great support for our war effort against Egypt in the form of military units and money.", "", "", "Acknowledge", "", "", ""
626, "Financial Aid", "", "Not to be outdone, China has also now contributed to our war effort. ", "", "", "Acknowledge", "", "", ""
627, "Declaration of War", "", "Unbelievable... Egypt has recruited Israel to help them. No matter... we shall eliminate both! ", "", "", "Acknowledge", "", "", ""
628, "Declaration of War", "", "Inconceivable!!!  Argentina has now declared war on us and shown their support to Venezuela.  Get our command unit to their capital to stop the conflict before it spreads further.¶¶", "", "", "Acknowledge", "", "", ""
629, "Declaration of War", "", "Inconceivable!!!  Chile thinks they can cause us trouble us by joining the war?  We think not!  Get our commander to their capital to put an end their their aggressive plans.¶¶Move your command unit to their capital to claim victory.", "", "", "Acknowledge", "", "", ""
63, "Significant Spending Detected", "Intelligence Report: %s Investing Heavily in Military Efficiency", "Our Intelligence reports that %s is spending significant amounts on Military Salaries, Efficiency, and Preparedness.  This will continue to increase the efficiency and alert level of their military units.", "", "", "Acknowledge", "", "", ""
630, "Declaration of War", "", "Inconceivable!!!  Bolivia is no match for us alone.  Unless they have outside support, we can easily stop their actions by visiting their capital building.¶¶Move your command unit to their capital to claim victory.", "", "", "Acknowledge", "", "", ""
631, "Declaration of War", "", "Inconceivable!!!  Paraguay can only hope to do any real damage to our country.  Stopping for a visit in their capital may deter others from following Venezuela.¶¶Move your command unit to their capital to claim victory.", "", "", "Acknowledge", "", "", ""
632, "Declaration of War", "", "Inconceivable!!!  Now Uruguay wants to put pressure on us too.  To their capital!  We must pull their politicians from power using all available force.¶¶Move your command unit to their capital to claim victory.", "", "", "Acknowledge", "", "", ""
633, "Declaration of War", "", "Inconceivable!!!  Peru is not in a position to inflict much damage.  However their capital won't be left undefended.¶¶Move your command unit to their capital to claim victory.", "", "", "Acknowledge", "", "", ""
634, "Declaration of War", "", "Inconceivable!!!  Oh the arrogance!  Ecuador now feels they can slow us down?!  Their sign of support will be remembered, on our visit to their capital.¶¶Move your command unit to their capital to claim victory.", "", "", "Acknowledge", "", "", ""
635, "Declaration of War", "", "Inconceivable!!!  Columbia has enough problems on their own and they still want to get involved in our war?  We could ignore them while they try to get their military organized or we could make a visit to their capital.¶¶Move your command unit to their ca", "", "", "Acknowledge", "", "", ""
636, "Declaration of War", "", "It's about time!  Finally we have the ability to silence the Venezuelans.  Get to their capital to finish this war, once and for all.  Now we can keep our timber AND take their oil.  ¶¶Move your command unit to their capital to claim victory.", "", "", "Acknowledge", "", "", ""
637, "Declaration of War", "", "France has offered to help and they know the coalition is lead by Venezuela.  The French do not think war is an answer to an environmental issue.", "", "", "Acknowledge", "", "", ""
638, "Declaration of War", "", "The US does like to get involved and this time they are offering to help us against Venezuela.", "", "", "Acknowledge", "", "", ""
639, "Border Skirmish Reported", "Border Skirmish Between %s and %s at %s", "Units from %s and %s have exchanged fire, increasing tensions along that border near %s.", "", "", "Acknowledge", "", "", ""
64, "Move Units into Reserves", "", "To reduce Salary and Maintenance costs, and also to hide the exact size of our military, I recommend that we put all unnecessary units back into reserves.", "", "", "Agree", "Deny", "Postpone decision", ""
640, "Vietnam Divided", "Vietnam Divided", "Vietnam has been officially partitioned into two regions; the North (Communist) Zone and the South (Non Communist) Zone.", "", "", "Acknowledge", "", "", ""
641, "Insurgency Reported", "Insurgency Reported in %s", "Growing unrest has led to an armed insurgency in %s against the government.", "", "", "Acknowledge", "Condemn Government", "Support Government", ""
642, "Taiwan Abandons Islands", "Taiwan Abandons Islands", "Taiwan has abandoned the Islands of Yijiangshan and Taschen to China at the urging of the United States to ease tensions in the Straight of Formosa.", "", "", "Acknowledge", "", "", ""
643, "Khrushchev Secret Speech", "Khrushchev Delivers Secret Speech", "It has been reported that in a closed session, Khrushchev has delivered a significant speech entitled 'On the Personality Cult and its Consequences'.  This speech is said to have openly criticized former USSR Leader, Joseph Stalin.", "", "", "Acknowledge", "", "", ""
644, "USSR Launches Sputnik", "USSR Launches Sputnik", "The USSR has launched Sputnik 1, the first Earth-Orbitting Artificial Satellite.", "", "", "Acknowledge", "", "", ""
645, "Sputnik 2 Carries Dog into Space", "Sputnik 2 Carries Dog into Space", "The USSR built on the success of Sputnik 1 by having Sputnik 2 carry a living animal into space.  The female dog, Laika, was euthanized during the flight since technology to successfully de-orbit has yet to be invented.", "", "", "Acknowledge", "", "", ""
646, "Anti Communist Demonstrations", "Anti Communist Insurgency in %s", "Demonstrations against the Communist Government in %s are growing.", "", "", "Acknowledge", "Condemn Government", "Support Government", ""
647, "Soviet Troops Suppress Protestors", "Soviet Troops Suppress Protestors in %s", "Anti-Communist Demonstrations in %s have been suppressed by the Soviet Military.", "", "", "Acknowledge", "", "", ""
648, "USSR Invades Afghanistan", "USSR Launches Invasion of Afghanistan", "The USSR has launched a major military invasion of Afghanistan in an effort to crush the Muslim Rebels.", "", "", "Acknowledge", "Condemn Invasion", "Support Invasion", ""
649, "European Economic Community", "European Economic Community Created", "Belgium, France, Italy, Luxembourg, the Netherlands, and West Germany have signed 'The Treaty of Rome' officially creating the European Economic Community.", "", "", "Acknowledge", "", "", ""
65, "Military Reduction Recommended", "", "Our military is more than a match for any possible adversary.  I recommended we reduce its size and spend the savings modernizing our older and obsolete equipment.", "", "", "Agree.  Sell / Scrap obsolete units", "Deny.  Keep forces", "Postpone decision", ""
650, "Membership Grows in EEC", "%s Joins European Economic Community", "%s has added their signature to the 1957 Treaty of Rome to become the lastest nation to join the European Economic Community.", "", "", "Acknowledge", "", "", ""
651, "USSR Launches ICBM", "USSR Launches ICBM", "USSR Develops R7 Rocket, the world's first true Intercontinental Ballistic Missile.", "", "", "Acknowledge", "", "", ""
652, "US Launches ICBM", "US Launches ICBM", "United States Develops Atlas D Rocket, its first Intercontinental Ballistic Missile.", "", "", "Acknowledge", "", "", ""
653, "US Takes First Pictures of Earth", "US Takes First Pictures of Earth", "The latest US Satellite, the Explorer 6, has successfully taken and transmitted the first pictures of earth taken from orbit.", "", "", "Acknowledge", "", "", ""
654, "Kennedy Founds Peace Corps", "Kennedy Founds Peace Corps", "By Excecutive Order 10924, President John F. Kennedy founds the Peace Corps to help impoverished countries and improve the perception of the 'Ugly American'.", "", "", "Acknowledge", "", "", ""
655, "USSR Puts Man in Space", "USSR Puts Man in Space", "Yuri Gagarin aboard the Vostok 1 has become the first man in space as well as the first man to orbit the earth in a flight that took 108 minutes from launch until landing.", "", "", "Acknowledge", "", "", ""
656, "Hotline Established", "Hotline Established", "In further response to the confrontation over the Cuban Missile Crisis, a hotline has been established between the US and the USSR.", "", "", "Acknowledge", "", "", ""
657, "Kennedy Speaks in Berlin", "Kennedy Speeks in Berlin", "President John F. Kennedy confirms the US continued commitment to the support and survival of West Berlin with the famous words, 'Ich bin ein Berliner'.", "", "", "Acknowledge", "", "", ""
658, "Regions Merge", "%s and %s Merge to become %s", "The nations of %s and %s have merged.  The new nation's name is %s.", "", "", "Acknowledge", "Condemn Merge", "Support Merge", ""
659, "Nation Absorbed", "%s Absorbed by %s", "%s has been integrated into the nation of %s.", "", "", "Acknowledge", "Condemn", "Support", ""
66, "WMD Development Warning", "Intelligence Report: %s Developing WMD", "Our Intelligence reports that %s may be developing a Weapons of Mass Destruction production technology.  We do not yet know the details of their program, or how far along they are in their developments.", "", "", "Acknowledge", "Condemn Research", "Support Research", ""
660, "ASEAN Formed", "ASEAN Formed", "Association of Southeast Asian Nations Organization has been formed between Indonesia, Malaysia, the Philippines, Thailand, and Singapore to address common fear of communism, desire for economic development and distrust of external powers.", "", "", "Acknowledge", "", "", ""
661, "Nation joins ASEAN", "%s Joins ASEAN", "%s has joined the Association of Southeast Asian Nations founded in 1967 by Indonesia, Singapore, the Philippines, Thailand, and Malaysia.", "", "", "Acknowledge", "Condemn Membership", "Support Membership", ""
662, "Troops Redeployed", "Troops Redeployed to %s", "You have redeployed additional troops to the %s Theater.", "", "", "Acknowledge", "", "", ""
663, "Unit Deployment Recommendation", "Redeploy Units to %s", "Recommendation: Deploy unassigned units to the %s Theater.", "", "", "Agree with Deployment", "Disagree with Deployment", "Hold Off", ""
664, "Theater Tensions High", "Tensions High in %s Theater", "Tensions are running high in the %s Theater.  Hostilities could erupt.", "", "", "Acknowledge", "", "", ""
665, "Military Hostilities", "Hostilities in %s Theater", "There are reports of renewed hostilities in the %s Theater.", "", "", "Acknowledge", "Condemn Conflict", "Support Conflict", ""
666, "Attack Report", "Attack Reported: %s Battlezone in %s Theater", "The %s Battlezone in the %s Theater has reported an attack.", "", "", "Acknowledge", "", "", ""
667, "Units unavailable for Theater", "No Units Available for %s Theater", "There are no units available to be deployed to the %s Theater.", "", "", "Acknowledge", "", "", ""
668, "Albania Withdraws from Alliance", "Albania Withdraws from Warsaw Pact", "In protest of the USSR crackdown in Czechoslovakia, Albania has become the first Warsaw Pact country to withdraw its membership from that organization.", "", "", "Acknowledge", "Condemn Action", "Support Action", ""
669, "Anti War Protests", "Anti War Protests in %s", "There are growing Anti War protests in %s, particularly involving student groups.", "", "", "Acknowledge", "Condemn Government", "Support Government", ""
67, "Intel Report: Treaty Uncovered", "Intelligence Report: %s has provided %s a %s Treaty", "One of our agents has discovered that %s has provided %s with a %s Treaty.  We have not discovered whether this has been reciprocated.", "", "", "Acknowledge", "", "", ""
670, "Man on the Moon!", "%s Lands Man on the Moon!", "%s has become the first country to land a Man on the Moon!  This tremendous achievement has been celebrated around the world.", "", "", "Acknowledge", "", "", ""
671, "The Eagle has Landed", "The Eagle has Landed", "With those words, the United States became the first nation to land men on the moon and on July 21st, Neil Armstrong became the first man to walk on the lunar surface.", "", "", "Acknowledge", "", "", ""
672, "Urgent Unit Deployment Request", "Urgent Deployment needed to %s", "Urgent Recommendation: Deploy unassigned units to the %s Theater.", "", "", "Agree with Deployment", "Disagree with Deployment", "Hold Off", ""
673, "Andropov Becomes First Secretary", "Andropov Becomes First Secretary", "Yuri Andropov replaces Brezhnev as First Secretary of the Communist Party.", "", "", "Acknowledge", "", "", ""
674, "Chernenko Now First Secretary", "Chernenko Becomes First Secretary", "Konstantin Chernenko replaces Andropov as First Secretary of the Communist Party.", "", "", "Acknowledge", "", "", ""
675, "Gorbachev Now First Secretary", "Gorbachev Becomes First Secretary", "Mikhail Gorbachev replaces Chernenko as First Secretary of the Communist Party.", "", "", "Acknowledge", "", "", ""
676, "Sino-Soviet Split", "Sino-Soviet Split", "Relations between China and USSR deteriorate over direction of Communism and Khrushchev's moderate approach to relations with the West.", "", "", "Acknowledge", "", "", ""
677, "Sino-Soviet Split Widens", "Sino-Soviet Split Widens", "China and the USSR sever diplomatic relations amidst increased criticism and open arguing about each other's appoach to dealing with Capitalist Nations.", "", "", "Acknowledge", "", "", ""
678, "Helsinki Accords Signed", "Helsinki Accords Signed", "This is a significant step toward reducing Cold War tensions and as a major diplomatic boost for the Soviet Union, this agreement stresses the integrity of European borders, peaceful settlement of disputes, and general co-operation among European States.", "", "", "Acknowledge", "", "", ""
679, "US Criticizes USSR Record", "US Criticizes USSR Record of Human Rights", "Secretary of State Cyrus Vance assures skeptics that the Carter Administration would hold the USSR accountable for its actions regarding Soviet crackdowns on human rights activists.", "", "", "Acknowledge", "Condemn Speech", "Support Speech", ""
68, "Missile Production", "", "I would like the approval to maximize our Missile Production so that we have a large enough inventory for any possible conflict.", "", "", "Agree", "Deny", "Postpone decision", ""
680, "Marshal Tito Dies", "Marshal Tito Dies", "Marshal Josip Tito passes away.  His authority had managed to hold the various ethnic factions of Yugoslavia together.", "", "", "Acknowledge", "", "", ""
681, "Revolutionaries land in Cuba", "Revolutionaries land in Cuba", "Fidel Castro,  Che Guevara, and others land in Cuba from exile in Mexico, to increase efforts to overthrow Batista Regime.", "", "", "Acknowledge", "", "", ""
682, "Batista Flees Cuba", "Batista Flees Cuba", "Batista flees to the Dominican Republic, effectively surrendering Cuba to Fidel Castro.", "", "", "Acknowledge", "", "", ""
683, "US Severs Relations with Cuba", "US Severs Relations with Cuba", "In response to the nationalizing of American holdings in Cuba, the United States has frozen all Cuban Assets in the US, broken diplomatic ties, and imposed a full economic embargo on the Island Nation.", "", "", "Acknowledge", "Condemn Action", "Support Action", ""
684, "Internal German Border Closed", "Internal German Border Closed", "To prevent emigration to the Western Ally Zones, East Germany has closed the Internal Borders and construction has begun on the Berlin Wall.", "", "", "Acknowledge", "Condemn Action", "Support Action", ""
685, "Himalayan War Erupts", "Himalayan War Erupts", "Chinese forces have launched an attack against Indian forces to claim this border area.", "", "", "Acknowledge", "Condemn War", "Support War", ""
686, "Korean War Ceasefire", "Korean War Ceasefire", "A Ceasefire Agreement has finally been reached to end hostilities in the Korean Conflict.  Borders have reverted to their original position.", "", "", "Acknowledge", "", "", ""
687, "France Surrenders Indo China", "France Surrenders Indo China", "After a major military defeat, France has surrendered Indo China leading to the formation of Laos, North Vietnam (Communist), and South Vietnam (Anti-Communist).", "", "", "Acknowledge", "Condemn Withdrawal", "Support Withdrawal", ""
688, "Formation of Viet Cong", "Formation of Viet Cong", "Formation of Communist Insurgency Movement in North Vietnam that vows to overthrow South Vietnamese Government.", "", "", "Acknowledge", "Condemn Insurgents", "Support Insurgents", ""
689, "Mao institutes Great Leap Forward", "Mao institutes Great Leap Forward", "In attempt to rapidly transform China into a modern communist society, Mao Zedong institutes a mandatory process of agricultural collectivization and persecution of private farming.", "", "", "Acknowledge", "", "", ""
69, "Supply Line Improvements Needed", "", "We need better supply lines to our frontline troops.  Therefore I would like the authorization to have some Supply Depots constructed closer to our borders.", "", "", "Agree.  Build facilities", "Deny.  Do not build facilities", "Postpone decision", ""
690, "NATO Formed", "NATO Formed", "North Atlantic Treaty Organization founded in April 1949 by Belgium, Canada, Denmark, France, Iceland, Italy, Luxembourg, the Netherlands, Norway, Portugal, the United Kingdom, and the United States to resist Communist expansion.", "", "", "Acknowledge", "", "", ""
691, "Warsaw Pact Forms", "Warsaw Pact Forms", "In response to the formation of NATO by the Western Nations, the USSR eventually forms the Warsaw Pact with East Germany, Czechoslovakia, Poland, Hungary, Romania, Albania, and Bulgaria (effectively already in place in 1949).", "", "", "Acknowledge", "", "", ""
692, "Spy Rings Identified", "Spy Rings Identified", "Sept. 1945 - Igor Gouzenko defects in Canada providing details of Soviet Spy Rings operating in Canada and other western countries.  This incident changes the perception of the Soviet Union from ally to foe.", "", "", "Acknowledge", "", "", ""
693, "Chinese Civil War", "Chinese Civil War", "1946-1949: Chinese Civil War resumes after conclusion of WWII.  Hostilities cease with the newly founded People's Republic of China controlling mainland China and the Republic of China's (later Taiwan) jurisdiction restricted to Taiwan and other Islands.", "", "", "Acknowledge", "", "", ""
694, "Churchill warns of Iron Curtain", "Churchill warns of Iron Curtain", "March 5, 1946 - 'From Stettin in the Baltic to Trieste in the Adriatic, an Iron Curtain has descended across the Continent.'", "", "", "Acknowledge", "", "", ""
695, "French Troops in Indochina", "French Troops in Indochina", "December 19, 1946 - French Troops land in Indochina to fight growing independence movement by communist Viet Minh.", "", "", "Acknowledge", "", "", ""
696, "Cold War Labelled", "Cold War Labelled", "April 16, 1947 - In a speech to the South Carolina Legislature, Bernard Baruch says 'Let us not be deceived... We are today in the midst of a cold war.  Our enemies are to be found abroad and at home.'", "", "", "Acknowledge", "", "", ""
697, "US Sends Military Aid", "US Sends Military Aid", "May 22, 1947 -  In a blatant signal of its intention to contain communism in the  Mediterranean, the United States extends $400 Million in Military Aid to Greece and Turkey.", "", "", "Acknowledge", "", "", ""
698, "Berlin Airlift", "Berlin Airlift", "June 1948 - May 1949: USSR blockades surface access to West Berlin in effort to force Allies to abandon the city.  Allies respond with continuous airlift that successfully keeps the city supplied and eventually forces Soviets to back down.", "", "", "Acknowledge", "", "", ""
699, "USSR Expels Yugoslavia", "USSR Expels Yugoslavia from COMINFORM", "June 28, 1948 - After General Tito continued to criticize Stalin for his lack of assistance to communists fighting for power in Greece, Stalin ordered Yugoslavia expelled from COMINFORM (the Communist Information Bureau).", "", "", "Acknowledge", "", "", ""
7, "Alliance ends in War!", "%s Declares War on Ally (%s)", "%s dramatically ended their Alliance with %s today by Declaring War on their former partner.", "", "", "Acknowledge", "Condemn War Declaration", "Support War Declaration", ""
70, "Warning : Low Military Approval", "Warning : Low Military Approval", "Our Military Approval Rating is at a low level.  We should take actions to improve it.", "", "", "Agree.  Increase Military Spending", "Deny.  Leave Military Spending ¶as is", "Postpone decision", ""
700, "Flag Change", "New Flag for %s", "New Flag for %s", "", "", "Acknowledge", "", "", ""
701, "US Drops Atomic Bombs", "US Drops Atomic Bombs", "Aug 1945 - United States drops Atomic Bombs on Hiroshima and Nagasaki to force Japan to surrender and bringing an end to World War II.", "", "", "Acknowledge", "", "", ""
702, "Philippines Gains Independence", "Philippines Gains Independence", "July 4, 1946 - The Philippines gains its independence.", "", "", "Acknowledge", "", "", ""
703, "India and Pakistan Independent", "India and Pakistan Gain Independence", "August 14, 1947 - Both India and Pakistan are granted independence from the United Kingdom.", "", "", "Acknowledge", "", "", ""
704, "World Market Withdraws Troops from Korea", "World Market Withdraws Troops from Korea", "November 14, 1947 - As part of the Post WWII demilitarization process, the World Market passes a resolution to withdraw International Troops from the Korean Peninsula.", "", "", "Acknowledge", "", "", ""
705, "Communists Lead Romania", "Communists Lead Romania", "December 30, 1947 - King Michael I of Romania is force to abdicate and leave the country by the Communists who proclaim Romania a People's Republic.", "", "", "Acknowledge", "", "", ""
706, "Federal Republic of Germany", "Federal Republic of Germany", "May 23, 1949 - The Ally Controlled Zones of Germany are merged to form the Federal Republic of Germany with Bonn as the Capital.", "", "", "Acknowledge", "", "", ""
707, "USSR Supports North Korea", "USSR Supports North Korea", "Sept. 9, 1949 - The USSR declares that the North Korean government is the only legitimate government of the Koreas with Kim-Il-sung as Prime Minister.", "", "", "Acknowledge", "", "", ""
708, "Arab - Israeli War", "Arab - Israeli War", "May 1948 - January 1949 : Egypt, Syria, Lebanon, and Iraq attack Israel in response to their proclaimed independence.  Eventually a ceasefire was declared and Israel was accepted as a member of the World Market on May 11, 1949.", "", "", "Acknowledge", "", "", ""
709, "GDR Formed", "GDR Formed", "Oct. 1949 - The Soviets declare their zone of Germany to be a new country, the German Democratic Republic with East Berlin as the capital.", "", "", "Acknowledge", "", "", ""
71, "Warning : Critical Military Approval", "Warning : Critically Low Military Approval", "Our Military Approval Rating is at a Critically Low Level.  If we do not take steps to immediately reverse this, we could face an open revolt or worse from our Armed Forces.", "", "", "Agree.  Allow Minister decision ¶making authority", "Deny.  Leave Orders / Spending ¶as is", "Postpone decision", ""
710, "Greek Civil War", "Greek Civil War", "Oct. 1946 - Aug 1949 : Communist led Democratic Army of Greece defeated.  This represents  the first successful containment of communism and entrenches Greece in the Western Sphere.", "", "", "Acknowledge", "", "", ""
711, "Non-Aligned Movement Formed", "Non-Aligned Movement Formed", "Yugoslav president Josip Tito leads the first official Non-Aligned Movement Summit in Belgrade formally created.  Principal advocacy was for a middle course for states in the Developing World between the Western and Eastern blocs of the Cold War.", "", "", "Acknowledge", "", "", ""
712, "U-2 Spy Plane Shot Down", "U-2 Spy Plane Shot Down over Russia", "During a reconnaissance mission over Sverdlovsk, Cpt. Fancis Gary Powers is shot down by a SA-2 Surface to Air missile.  The incident has prompted a marked deterioration in relations between the US and the USSR.", "", "", "Acknowledge", "", "", ""
713, "Kennedy Makes Announcement", "Kennedy Announces Alliance for Progress", "US President Kennedy announces an initiative to establish economic cooperation the United States and Central and South America, which will include significant financial assistance.", "", "", "Acknowledge", "", "", ""
714, "Partial Test Ban Treaty", "Partial Test Ban Treaty", "US, USSR, and the United Kingdom sign treaty prohibiting all test detonations of nuclear weapons except underground.", "", "", "", "", "", ""
715, "North Vietnamese Attack US Ships", "North Vietnamese Attack US Ships", "North Vietnamese Patrol Boats have fired on US Naval Ships in the South China Sea.  Incident has led to US Congress passing the Gulf of Tonkin Resolution - essentially authorizing Lyndon Johnson to deploy troops against North Vietnam.", "", "", "Acknowledge", "Condemn Attack", "Support Attack", ""
716, "US Occupies Dominican Republic", "US Occupies Dominican Republic", "In response to the growing civilian casualties and fearing a repeat of the communist takeover of Cuba, Lyndon Johnson orders American Troops to occupy the Dominican Republic and restore peace.", "", "", "Acknowledge", "Condemn Occupation", "Support Occupation", ""
717, "President of DR Assassinated", "President of Dominican Republic Assassinated", "President Rafael Trujillo of the Dominican Republic is assassinated.  The elimination of this dictator is seen as a crucial step towards political reform and freedoms in the country.", "", "", "Acknowledge", "", "", ""
718, "de Gaulle Offends Canadians", "de Gaulle Offends Canadians", "French President Charles de Gaulle, in Montreal to visit the world's fair (Expo '67 - part of Canada's centennial celebrations) makes speech proclaiming 'Vive le Quebec libre!' (Long live Free Quebec)", "", "", "Acknowledge", "", "", ""
719, "October Crisis in Canada", "October Crisis in Canada", "Seen as a prelude to possible armed insurection in Quebec, the kidnappings of two civil servants - James Cross and Pierre Laporte (who was later executed) by the Front de liberation du Quebec, cause Canada to implement War Measures Act.", "", "", "Acknowledge", "", "", ""
72, "Intel: Cabinet Focus Discovered", "Intelligence Report: %s %s Priorities Discovered", "Our intelligence assets have discovered the current list of Cabinet Priorities for the %s %s Department:", "", "", "Acknowledge", "", "", ""
720, "Mutual Recognition in Germany", "Mutual Recognition in Germany", "West German Chancellor Willy Brandt's policy of 'Neue Ostpolitik' have led to a series of treaties that have normalized relations between East and West Germany.", "", "", "Acknowledge", "", "", ""
721, "SALT 1 Agreement", "SALT 1 Agreement", "The US and USSR have signed the Strategic Arms Limitation Treaty, setting some limitations to the deployment of Strategic Offensive Arms.", "", "", "Acknowledge", "", "", ""
722, "Reformer Leads Czechoslovakia", "Reformer Leads Czechoslovakia", "Newly elected Alexander Dubcek has inititated a program of reforms for Czechoslovakia, granting additional rights to its citizens and loosening the restrictions on the media, on speech and on travel.", "", "", "Acknowledge", "", "", ""
723, "Iranian Revolution", "Iranian Revolution", "After enduring months of protests, the Shah and Empress are forced to leave Iran paving the way for Ayatollah Khomeini to return from exile and lead a new Theocratic Government based '100% on Islam'.", "", "", "Acknowledge", "Condemn Revolution", "Support Revolution", ""
724, "Hostage Crisis in Iran", "Hostage Crisis in Iran", "As a result of the exiled and dying Shah being admitted into the United States for cancer treatment, student protestors storm the American Embassy in Iran and capture 66 American Diplomats.", "", "", "Acknowledge", "", "", ""
725, "Argentina Invades Falklands", "Argentina Invades Falklands", "Using a protracted diplomatic confrontation regarding the sovereignty of the islands as an excuse, Argentina has invaded the Falkland Islands.  Many see this as a way to divert Argentinian public attention away from their economic problems.", "", "", "Acknowledge", "Condemn Invasion", "Support Invasion", ""
726, "US Invades Grenada", "US Invades Grenada", "In response to the overthrowing of the moderate government of Maurice Bishop by a strongly pro-communist element, US President Ronald Reagan ordered Grenada be invaded and its Constitutional Democracy reinstated.", "", "", "Acknowledge", "Condemn Invasion", "Support Invasion", ""
727, "Reagan Speech Hurts Relations", "Reagan Speeches Inflame Relations", "In a series of speeches, US President Ronal Reagan has further soured relations with the Soviet Union, first labelling them an 'Evil Empire' and then announcing plans to develop a Strategic Defense Initiative, commonly referred to as 'Star Wars'.", "", "", "Acknowledge", "", "", ""
728, "Breakthrough in Arms Control", "Breakthrough in Nuclear Arms Control", "As a result of the Reykjavik Summit, the US and the USSR have announced a new treaty which offers a breakthrough between the nations in Nuclear Arms Control.", "", "", "Acknowledge", "", "", ""
729, "Pope John Paul II Visits Poland", "Pope John Paul II Visits Poland", "Pope John Paul II begins his first pastoral visit to his native Poland uplifting the nation's spirit.", "", "", "Acknowledge", "", "", ""
73, "Increase Reserve Personnel", "", "I would like to take steps, including conscription, to significantly increase our available Military Reservists.", "", "", "Agree.  Allow Minister decision ¶making authority", "Deny.  Leave recruitment as is", "Postpone decision", ""
730, "US and China Establish Relations", "US and China Establish Relations", "The United States and the People's Republic of China have officially established formal diplomatic relations.", "", "", "", "", "", ""
731, "Gorbachev Announcement", "Gorbachev announces Glasnost and Perestroika", "In order to pressure hard liners within the Politburo to more actively combat corruption, Soviet Leader Mikhail Gorbachev announces policies of openness and economic restructuring.", "", "", "Acknowledge", "", "", ""
